spanish,english,domain,collocations
la intermitencia,intermittency,tech,detectar la intermitencia; sufrir intermitencia; corregir la intermitencia; evitar la intermitencia
el reclamo,complaint/claim,work,presentar un reclamo; atender un reclamo; desestimar un reclamo; justificar un reclamo
la directriz,directive/guideline,admin,impartir una directriz; seguir una directriz; ignorar una directriz; revisar una directriz
el excedente,surplus,money,generar un excedente; gestionar un excedente; reinvertir el excedente; reducir el excedente
la fluctuación,fluctuation,work,observar una fluctuación; controlar una fluctuación; sufrir una fluctuación; prever una fluctuación
la deslocalización,outsourcing/offshoring,work,provocar la deslocalización; frenar la deslocalización; analizar la deslocalización; evitar la deslocalización
la enmienda,amendment,legal,presentar una enmienda; aprobar una enmienda; rechazar una enmienda; redactar una enmienda
la facturación,turnover/invoicing,work,aumentar la facturación; controlar la facturación; analizar la facturación; mejorar la facturación
la remisión,referral/remission,health,solicitar una remisión; recibir una remisión; gestionar la remisión
el facultativo,physician,health,consultar al facultativo; criterio del facultativo; asistencia del facultativo
la analítica,blood test,health,solicitar una analítica; resultados de la analítica; revisar la analítica
la sedación,sedation,health,aplicar la sedación; bajo sedación; profunda sedación
la intervención,surgery/intervention,health,programar la intervención; riesgo de la intervención; éxito de la intervención
el alta médica,discharge,health,recibir el alta médica; tramitar el alta médica; firmar el alta médica
la baja laboral,sick leave,health,solicitar la baja laboral; tramitar la baja laboral; periodo de baja laboral
la farmacología,pharmacology,health,estudio de la farmacología; base de la farmacología; aplicación de la farmacología
el principio activo,active ingredient,health,concentración del principio activo; efecto del principio activo; dosis del principio activo
la posología,dosage instructions,health,seguir la posología; ajustar la posología; incumplimiento de la posología
el prospecto,leaflet,health,leer el prospecto; instrucciones del prospecto; advertencias del prospecto
la contraindicación,contraindication,health,evitar la contraindicación; advertir la contraindicación; riesgo de contraindicación
la dosis,dosage,health,ajustar la dosis; exceder la dosis; pauta de dosis
el lote,batch,health,verificación del lote; caducidad del lote; seguridad del lote
la fecha de consumo,expiry date,health,verificar la fecha de consumo; controlar la fecha de consumo; comprobar la fecha de consumo; exceder la fecha de consumo
el efecto secundario,side effect,health,notificar el efecto secundario; riesgo de efecto secundario; mitigar el efecto secundario
la prima,insurance premium,health,abonar la prima; aumento de la prima; impago de la prima
la franquicia,deductible,health,aplicar la franquicia; exención de franquicia; pago de la franquicia
el beneficiario,beneficiary,health,designar al beneficiario; derechos del beneficiario; cambio de beneficiario
la carencia,waiting period,health,periodo de carencia; exención de carencia; normativa de carencia
el perito,adjuster,health,informe del perito; visita del perito; dictamen del perito
el equipamiento,equipment,health,adquirir el equipamiento; mantenimiento del equipamiento; renovación del equipamiento
el instrumental,instruments,health,esterilizar el instrumental; uso de instrumental; reposición de instrumental
el desfibrilador,defibrillator,health,manejo del desfibrilador; revisión del desfibrilador; uso de desfibrilador
la camilla,stretcher,health,traslado en camilla; limpieza de la camilla; ajuste de la camilla
la sonda,probe/catheter,health,colocación de la sonda; esterilización de la sonda; uso de sonda
el monitor,monitor,health,configurar el monitor; lectura del monitor; alarma del monitor
el respirador,ventilator,health,asistencia con respirador; ajuste del respirador; fallo del respirador
la jeringuilla,syringe,health,precisión de la jeringuilla; desecho de la jeringuilla; uso de jeringuilla
el vendaje,bandage,health,aplicar el vendaje; cambio de vendaje; fijación del vendaje
la férula,splint,health,colocar la férula; ajuste de la férula; revisión de la férula
el glucómetro,glucometer,health,calibrar el glucómetro; uso del glucómetro; lectura del glucómetro
el ecógrafo,ultrasound machine,health,manejo del ecógrafo; resultados del ecógrafo; mantenimiento del ecógrafo
la gasa,gauze,health,esterilizar la gasa; uso de gasa; caja de gasas
el esfigmomanómetro,blood pressure monitor,health,usar el esfigmomanómetro; calibrar el esfigmomanómetro; verificar el esfigmomanómetro; leer el esfigmomanómetro
el gotero,IV drip,health,ajustar el gotero; velocidad del gotero; cambio de gotero
la prótesis,prosthesis,health,ajuste de la prótesis; colocación de la prótesis; material de la prótesis
la silla de ruedas,wheelchair,health,uso de silla de ruedas; mantenimiento de la silla de ruedas; alquiler de silla de ruedas
la muleta,crutch,health,uso de muleta; ajuste de la muleta; reposición de muleta
la tirita,adhesive bandage,health,aplicar la tirita; caja de tiritas; uso de tirita
el algodón,cotton wool,health,esterilizar el algodón; uso de algodón; paquete de algodón
la mascarilla,mask,health,uso de mascarilla; desecho de la mascarilla; tipo de mascarilla
el guante,glove,health,uso de guantes; desecho de guantes; látex de guante
la bata,medical gown,health,uso de bata; esterilización de la bata; talla de bata
el tensiómetro,blood pressure cuff,health,calibrar el tensiómetro; uso del tensiómetro; lectura del tensiómetro
el termómetro,thermometer,health,lectura del termómetro; calibración del termómetro; precisión del termómetro
el inquilinato,tenancy,housing,régimen de inquilinato; ley de inquilinato; derechos de inquilinato
la habitabilidad,habitability,housing,condiciones de habitabilidad; certificado de habitabilidad; garantizar la habitabilidad
el arrendador,lessor/landlord,housing,notificar al arrendador; obligaciones del arrendador; figura del arrendador
el avalista,guarantor,housing,exigir un avalista; figura del avalista; responder como avalista
la mensualidad,monthly rent payment,housing,abonar la mensualidad; retraso en la mensualidad; impago de la mensualidad
el inquilino,tenant,housing,perfil del inquilino; selección del inquilino; responsabilidad del inquilino
el arrendamiento,lease agreement,housing,contrato de arrendamiento; prórroga del arrendamiento; duración del arrendamiento
la filtración,leak/seepage,repairs,detectar una filtración; filtración de agua; reparar la filtración
el fontanero,plumber,repairs,llamar al fontanero; consulta con el fontanero; intervención del fontanero
el electricista,electrician,repairs,asistencia del electricista; avisar al electricista; factura del electricista
el repuesto,spare part,repairs,buscar el repuesto; falta de repuesto; pieza de repuesto
la mano de obra,labor,repairs,coste de mano de obra; precio de mano de obra; profesional de mano de obra
la reparación,repair,repairs,garantía de reparación; urgencia de reparación; plazo de reparación
el contador,meter,utilities,lectura del contador; avería del contador; precinto del contador
la potencia,power capacity,utilities,contratar la potencia; aumentar la potencia; límite de potencia
la compañía,utility company,utilities,cambiar de compañía; contrato con la compañía; atención de la compañía
el consumo,consumption,utilities,ahorro de consumo; exceso de consumo; medición del consumo
el electrodoméstico,appliance,housing,eficiencia del electrodoméstico; garantía del electrodoméstico; avería del electrodoméstico
el frigorífico,refrigerator,housing,termostato del frigorífico; limpieza del frigorífico; descongelar el frigorífico
la lavadora,washing machine,housing,filtro de la lavadora; ciclo de la lavadora; carga de la lavadora
el lavavajillas,dishwasher,housing,uso del lavavajillas; pastilla del lavavajillas; avería del lavavajillas
la vitrocerámica,ceramic hob,housing,limpieza de la vitrocerámica; superficie de la vitrocerámica; bloqueo de la vitrocerámica
el microondas,microwave,housing,potencia del microondas; interior del microondas; avería del microondas
el extractor,extractor hood,housing,filtro del extractor; ruido del extractor; potencia del extractor
el termo,water heater,housing,termo eléctrico; avería del termo; instalación del termo
la tasa,municipal tax/fee,admin,pago de la tasa; tasa de basuras; exención de tasa
la recogida,collection,admin,recogida de residuos; horario de recogida; servicio de recogida
el alcantarillado,sewer system,admin,mantenimiento del alcantarillado; atasco en el alcantarillado; red de alcantarillado
la luminaria,street light,admin,reparar la luminaria; fallo en la luminaria; reposición de la luminaria
el padrón,municipal register,admin,certificado de padrón; gestión del padrón; inscripción en el padrón
el catastro,land registry,admin,valor del catastro; datos del catastro; consulta al catastro
el mobiliario,furniture,housing,inventario del mobiliario; estado del mobiliario; deterioro del mobiliario
la calefacción,heating,utilities,instalación de calefacción; avería de la calefacción; encender la calefacción
el desagüe,drain,repairs,atasco del desagüe; limpieza del desagüe; obstrucción del desagüe
la vivienda,dwelling/housing,housing,estado de la vivienda; alquiler de vivienda; inspección de la vivienda
el activo intangible,intangible asset,money,valorar el activo intangible; proteger el activo intangible; registrar el activo intangible; amortizar el activo intangible
la partida presupuestaria,budget line item,money,asignar una partida presupuestaria; modificar la partida presupuestaria; aprobar la partida presupuestaria; ejecutar la partida presupuestaria
el devengo,accrual,money,la fecha de devengo; el momento del devengo; impuesto de devengo
la auditoría interna,internal audit,legal,superar la auditoría interna; realizar la auditoría interna; programar la auditoría interna; encargar la auditoría interna
el cumplimiento normativo,regulatory compliance,legal,garantizar el cumplimiento normativo; asegurar el cumplimiento normativo; verificar el cumplimiento normativo; auditar el cumplimiento normativo
la diligencia debida,due diligence,legal,ejecutar la diligencia debida; realizar la diligencia debida; completar la diligencia debida; iniciar la diligencia debida
la sanción administrativa,administrative penalty,legal,imponer una sanción administrativa; recurrir la sanción administrativa; pagar la sanción administrativa; evitar la sanción administrativa
la cláusula penal,penal clause,work,incluir una cláusula penal; ejecutar la cláusula penal; redactar una cláusula penal; negociar una cláusula penal
el anexo contractual,contractual annex,work,adjuntar el anexo contractual; revisar el anexo contractual; firmar el anexo contractual; redactar el anexo contractual
el vicio oculto,latent defect,work,reclamar por vicio oculto; detectar un vicio oculto; denunciar un vicio oculto; probar un vicio oculto
la rescisión,rescission/termination,work,la rescisión unilateral; solicitar la rescisión; causa de rescisión
la subcontratación,subcontracting,work,gestionar la subcontratación; autorizar la subcontratación; limitar la subcontratación; prohibir la subcontratación
el absentismo,absenteeism,work,reducir el absentismo; el índice de absentismo; causas del absentismo
el clima laboral,workplace environment,work,mejorar el clima laboral; medir el clima laboral; evaluar el clima laboral; fomentar un buen clima laboral
el incentivo salarial,salary incentive,work,establecer un incentivo salarial; recibir el incentivo salarial; ofrecer un incentivo salarial; aprobar el incentivo salarial
la capacitación,training/skill development,work,la capacitación continua; plan de capacitación; recibir capacitación; impartir capacitación; completar la capacitación
la retención del talento,talent retention,work,estrategias de retención del talento; fomentar la retención del talento; mejorar la retención del talento; priorizar la retención del talento
la trazabilidad,traceability,work,garantizar la trazabilidad; sistema de trazabilidad; asegurar la trazabilidad; controlar la trazabilidad; verificar la trazabilidad
el stock de seguridad,safety stock,work,gestionar el stock de seguridad; calcular el stock de seguridad; mantener el stock de seguridad; ajustar el stock de seguridad
la cadena de suministro,supply chain,work,optimizar la cadena de suministro; fallos en la cadena de suministro; gestionar la cadena de suministro; integrar la cadena de suministro
la logística inversa,reverse logistics,work,implementar la logística inversa; costes de logística inversa; gestionar la logística inversa; planificar la logística inversa
el proveedor logístico,logistics provider,work,contratar al proveedor logístico; evaluar al proveedor logístico; cambiar de proveedor logístico; negociar con el proveedor logístico
el centro de distribución,distribution center,work,gestionar el centro de distribución; ubicación del centro de distribución; operar el centro de distribución; ampliar el centro de distribución
la satisfacción del cliente,customer satisfaction,work,medir la satisfacción del cliente; mejorar la satisfacción del cliente; garantizar la satisfacción del cliente; niveles de satisfacción del cliente
la fidelización,customer loyalty,work,estrategias de fidelización; mejorar la fidelización; fomentar la fidelización; programas de fidelización; lograr la fidelización
el servicio postventa,after-sales service,work,el departamento de servicio postventa; calidad del servicio postventa; ofrecer servicio postventa; mejorar el servicio postventa
el protocolo de atención,customer service protocol,work,seguir el protocolo de atención; actualizar el protocolo de atención; definir el protocolo de atención; cumplir el protocolo de atención
el embudo de conversión,conversion funnel,money,analizar el embudo de conversión; optimizar el embudo de conversión; medir el embudo de conversión; mejorar el embudo de conversión
la liquidez,liquidity,money,mejorar la liquidez; problemas de liquidez; ratio de liquidez
el pasivo circulante,current liabilities,money,gestionar el pasivo circulante; reducir el pasivo circulante; analizar el pasivo circulante; controlar el pasivo circulante
el balance de situación,balance sheet,money,presentar el balance de situación; auditar el balance de situación; revisar el balance de situación; aprobar el balance de situación
el margen de beneficio,profit margin,money,ajustar el margen de beneficio; reducir el margen de beneficio; aumentar el margen de beneficio; calcular el margen de beneficio
el contrato mercantil,commercial contract,work,redactar el contrato mercantil; validez del contrato mercantil; firmar el contrato mercantil; rescindir el contrato mercantil
el mandato,mandate/power of attorney,work,otorgar un mandato; cumplir el mandato; revocar el mandato; aceptar el mandato
la responsabilidad solidaria,joint liability,work,asumir la responsabilidad solidaria; exención de responsabilidad solidaria; declarar la responsabilidad solidaria; determinar la responsabilidad solidaria
el incumplimiento,breach/non-compliance,work,el incumplimiento contractual; notificar el incumplimiento; penalizar el incumplimiento
el preaviso,advance notice,work,el periodo de preaviso; cumplir con el preaviso; sin preaviso
la auditoría externa,external audit,legal,realizar la auditoría externa; informe de auditoría externa; superar la auditoría externa; contratar una auditoría externa
la transparencia corporativa,corporate transparency,legal,fomentar la transparencia corporativa; política de transparencia corporativa; garantizar la transparencia corporativa; promover la transparencia corporativa
la seguridad laboral,workplace safety,work,garantizar la seguridad laboral; normas de seguridad laboral; cumplir la seguridad laboral; mejorar la seguridad laboral
el equipo multidisciplinar,multidisciplinary team,work,formar un equipo multidisciplinar; trabajar en equipo multidisciplinar; coordinar un equipo multidisciplinar; liderar un equipo multidisciplinar
la carga de trabajo,workload,work,gestionar la carga de trabajo; excesiva carga de trabajo; equilibrar la carga de trabajo; reducir la carga de trabajo
el inventario,inventory,work,realizar el inventario; rotación del inventario; control del inventario
el almacén automatizado,automated warehouse,work,gestionar el almacén automatizado; diseño del almacén automatizado; operar el almacén automatizado; modernizar el almacén automatizado
el transporte multimodal,multimodal transport,work,contratar transporte multimodal; ventajas del transporte multimodal; organizar transporte multimodal; utilizar transporte multimodal
la última milla,last mile,work,la distribución de última milla; optimizar la última milla; gestionar la última milla; costes de la última milla
el tiempo de entrega,delivery time,work,reducir el tiempo de entrega; cumplir el tiempo de entrega; mejorar el tiempo de entrega; controlar el tiempo de entrega
el punto de venta,point of sale,work,gestionar el punto de venta; estrategia en el punto de venta; visitar el punto de venta; abrir un punto de venta
la atención personalizada,personalized service,work,ofrecer atención personalizada; valorar la atención personalizada; garantizar atención personalizada; mejorar la atención personalizada
el buzón de sugerencias,suggestion box,work,habilitar el buzón de sugerencias; revisar el buzón de sugerencias; implementar el buzón de sugerencias; gestionar el buzón de sugerencias
el plan estratégico,strategic plan,work,elaborar el plan estratégico; ejecutar el plan estratégico; revisar el plan estratégico; definir el plan estratégico
la ventaja competitiva,competitive advantage,money,mantener la ventaja competitiva; crear una ventaja competitiva; perder la ventaja competitiva; desarrollar una ventaja competitiva
el mercado objetivo,target market,money,definir el mercado objetivo; analizar el mercado objetivo; identificar el mercado objetivo; estudiar el mercado objetivo
el cortafuegos,firewall,tech,configurar el cortafuegos; gestionar el cortafuegos; brecha en el cortafuegos; robustez del cortafuegos
el malware,malware,tech,eliminar el malware; detectar el malware; infección por malware; propagación de malware
la suplantación,spoofing/impersonation,tech,evitar la suplantación; técnica de suplantación; alerta de suplantación; intento de suplantación
el phishing,phishing,tech,campaña de phishing; caer en el phishing; denunciar el phishing; protección frente al phishing
el ciberdelito,cybercrime,tech,combatir el ciberdelito; índice de ciberdelito; prevención del ciberdelito; denuncia de ciberdelito
el respaldo,backup/support,tech,crear el respaldo; gestionar el respaldo; frecuencia del respaldo; integridad del respaldo
el metadato,metadata,tech,extraer el metadato; gestión de metadatos; análisis de metadatos; revisión de metadatos
la sincronización,synchronization,tech,configurar la sincronización; error de sincronización; pausar la sincronización; estado de sincronización
el directorio,directory,tech,acceder al directorio; estructura del directorio; ruta del directorio; permisos de directorio
la persistencia,persistence,tech,garantizar la persistencia; error de persistencia; mecanismo de persistencia; tiempo de persistencia
la credencial,credential,tech,proteger la credencial; robo de credencial; validar la credencial; gestión de credenciales
la sesión,session,tech,cerrar la sesión; tiempo de sesión; caducidad de la sesión; gestión de sesiones
el administrador,administrator,tech,privilegios de administrador; rol de administrador; acceso de administrador; gestión de administradores
la suscripción,subscription,tech,gestionar la suscripción; cancelar la suscripción; renovación de la suscripción; coste de suscripción
la verificación,verification,tech,proceso de verificación; método de verificación; código de verificación; pasos de verificación
el periférico,peripheral,tech,conectar el periférico; compatibilidad del periférico; gestión de periféricos; instalación del periférico
el firmware,firmware,tech,actualizar el firmware; versión del firmware; fallo de firmware; parche de firmware
el sensor,sensor,tech,calibrar el sensor; datos del sensor; precisión del sensor; lectura del sensor
la API,API,tech,integrar la API; documentación de la API; uso de la API; autenticación de la API
la interoperabilidad,interoperability,tech,garantizar la interoperabilidad; estándares de interoperabilidad; retos de interoperabilidad; nivel de interoperabilidad
el rastreo,tracking,tech,bloquear el rastreo; cookies de rastreo; evitar el rastreo; política de rastreo
el anonimato,anonymity,tech,garantizar el anonimato; herramienta de anonimato; preservar el anonimato; nivel de anonimato
la supresión,deletion/suppression,tech,derecho de supresión; solicitud de supresión; gestión de supresión; proceso de supresión
el parche,patch,tech,aplicar el parche; lanzamiento del parche; gestión de parches; vulnerabilidad del parche
la residencia,residency,travel,solicitar la residencia; conceder la residencia; renovar la residencia; acreditar la residencia
la deportación,deportation,travel,evitar la deportación; ordenar la deportación; ejecutar la deportación
la nacionalidad,nationality,travel,adquirir la nacionalidad; tramitar la nacionalidad; denegar la nacionalidad; obtener la nacionalidad
el salvoconducto,safe-conduct pass,travel,expedir el salvoconducto; portar el salvoconducto; validar el salvoconducto
el asilo,asylum,travel,solicitar el asilo; conceder el asilo; denegar el asilo; tramitar el asilo
la repatriación,repatriation,travel,facilitar la repatriación; coordinar la repatriación; gestionar la repatriación
la convalidación,validation,travel,tramitar la convalidación; gestionar la convalidación; obtener la convalidación
el overbooking,overbooking,travel,reclamar por overbooking; denunciar el overbooking; gestionar el overbooking
la masificación,overcrowding,travel,evitar la masificación; gestionar la masificación; sufrir la masificación
el abono,transport pass,transport,recargar el abono; validar el abono; adquirir el abono
la intermodalidad,intermodality,transport,fomentar la intermodalidad; gestionar la intermodalidad; promover la intermodalidad; mejorar la intermodalidad
el convoy,convoy/train set,transport,formar el convoy; revisar el convoy; retrasar el convoy
el andén,platform,transport,acceder al andén; despejar el andén; vigilar el andén
la terminal,terminal,transport,transitar la terminal; evacuar la terminal; bloquear la terminal
la gratuidad,free of charge status,transport,aplicar la gratuidad; reclamar la gratuidad; aprobar la gratuidad; defender la gratuidad
la electrificación,electrification,transport,completar la electrificación; supervisar la electrificación; impulsar la electrificación; financiar la electrificación
el aforo,capacity,travel,limitar el aforo; controlar el aforo; superar el aforo
el rescate,rescue,emergency,coordinar el rescate; ejecutar el rescate; solicitar el rescate
la contención,containment,emergency,asegurar la contención; gestionar la contención; lograr la contención; mantener la contención
la corresponsabilidad,shared responsibility,family,fomentar la corresponsabilidad; asumir la corresponsabilidad; pactar la corresponsabilidad
el cuidado paliativo,palliative care,family,recibir el cuidado paliativo; gestionar el cuidado paliativo; administrar el cuidado paliativo
la tutela,guardianship,community,ejercer la tutela; asumir la tutela; revocar la tutela
el entorno asistencial,care environment,family,mejorar el entorno asistencial; adaptar el entorno asistencial; supervisar el entorno asistencial
el trámite burocrático,bureaucratic procedure,education,agilizar el trámite burocrático; evitar el trámite burocrático; cumplir el trámite burocrático
la ayuda a domicilio,home help,family,solicitar la ayuda a domicilio; contratar la ayuda a domicilio; prestar la ayuda a domicilio
la cohesión social,social cohesion,community,reforzar la cohesión social; favorecer la cohesión social; proteger la cohesión social
la dependencia,dependency,family,declarar la dependencia; valorar la dependencia; reconocer la dependencia
la jornada partida,split shift,family,cumplir la jornada partida; reducir la jornada partida; negociar la jornada partida
el expediente académico,academic record,education,revisar el expediente académico; actualizar el expediente académico; solicitar el expediente académico
la prestación asistencial,welfare benefit,family,cobrar la prestación asistencial; tramitar la prestación asistencial; denegar la prestación asistencial
la gobernanza,governance,community,mejorar la gobernanza; aplicar la gobernanza; democratizar la gobernanza
el conflicto de intereses,conflict of interest,community,detectar el conflicto de intereses; evitar el conflicto de intereses; denunciar el conflicto de intereses
el protocolo educativo,educational protocol,education,diseñar el protocolo educativo; seguir el protocolo educativo; aplicar el protocolo educativo
el tejido asociativo,associative fabric,community,fortalecer el tejido asociativo; dinamizar el tejido asociativo; ampliar el tejido asociativo
la carga asistencial,care burden,family,asumir la carga asistencial; reducir la carga asistencial; gestionar la carga asistencial
la flexibilidad laboral,work flexibility,family,exigir la flexibilidad laboral; negociar la flexibilidad laboral; implantar la flexibilidad laboral
la polarización,polarization,community,combatir la polarización; frenar la polarización; reducir la polarización
la normativa interna,internal regulations,education,cumplir la normativa interna; modificar la normativa interna; redactar la normativa interna
el centro de día,day center,family,acudir al centro de día; financiar el centro de día; gestionar el centro de día
la equidad social,social equity,community,promover la equidad social; defender la equidad social; garantizar la equidad social
el permiso parental,parental leave,family,solicitar el permiso parental; ampliar el permiso parental; disfrutar el permiso parental
la crispación,tension/rancor,community,rebajar la crispación; evitar la crispación; alimentar la crispación
la gestión administrativa,administrative management,education,agilizar la gestión administrativa; externalizar la gestión administrativa; simplificar la gestión administrativa
la red de apoyo,support network,community,crear la red de apoyo; consolidar la red de apoyo; activar la red de apoyo
el recurso sociosanitario,social-health resource,family,acceder al recurso sociosanitario; asignar el recurso sociosanitario; ampliar el recurso sociosanitario
la crianza,child-rearing,family,favorecer la crianza; dificultar la crianza; compartir la crianza
el proceso de matriculación,enrollment process,education,iniciar el proceso de matriculación; completar el proceso de matriculación; supervisar el proceso de matriculación
la participación ciudadana,citizen participation,community,fomentar la participación ciudadana; incentivar la participación ciudadana; limitar la participación ciudadana
el envejecimiento activo,active aging,family,promover el envejecimiento activo; facilitar el envejecimiento activo; fomentar el envejecimiento activo
el pacto de convivencia,coexistence agreement,community,firmar el pacto de convivencia; respetar el pacto de convivencia; violar el pacto de convivencia
la dotación presupuestaria,budgetary allocation,community,aumentar la dotación presupuestaria; recortar la dotación presupuestaria; asignar la dotación presupuestaria
el rol familiar,family role,family,asumir el rol familiar; cuestionar el rol familiar; redefinir el rol familiar
la discordancia,disagreement,community,manifestar la discordancia; resolver la discordancia; evitar la discordancia
la certificación oficial,official certification,education,obtener la certificación oficial; validar la certificación oficial; presentar la certificación oficial
la infraestructura social,social infrastructure,community,desarrollar la infraestructura social; invertir en la infraestructura social; mantener la infraestructura social
la autonomía personal,personal autonomy,family,fomentar la autonomía personal; recuperar la autonomía personal; potenciar la autonomía personal
la responsabilidad compartida,shared responsibility,family,fomentar la responsabilidad compartida; asumir la responsabilidad compartida; reclamar la responsabilidad compartida
la confrontación,confrontation,community,evitar la confrontación; provocar la confrontación; mediar en la confrontación
la tasa de matriculación,enrollment rate,education,aumentar la tasa de matriculación; analizar la tasa de matriculación; controlar la tasa de matriculación
la ayuda técnica,technical aid,family,solicitar la ayuda técnica; obtener la ayuda técnica; subvencionar la ayuda técnica
la carga de cuidados,care burden,family,aliviar la carga de cuidados; repartir la carga de cuidados; asumir la carga de cuidados
la desavenencia,disagreement,community,superar la desavenencia; causar la desavenencia; arreglar la desavenencia
el calendario escolar,school calendar,education,aprobar el calendario escolar; modificar el calendario escolar; cumplir el calendario escolar
la entidad sin ánimo de lucro,non-profit organization,community,colaborar con la entidad sin ánimo de lucro; registrar la entidad sin ánimo de lucro; subvencionar la entidad sin ánimo de lucro
el deterioro cognitivo,cognitive decline,family,detectar el deterioro cognitivo; tratar el deterioro cognitivo; frenar el deterioro cognitivo
la delegación de tareas,delegation of tasks,family,facilitar la delegación de tareas; aprender la delegación de tareas; fomentar la delegación de tareas
la ruptura del diálogo,breakdown of dialogue,community,provocar la ruptura del diálogo; evitar la ruptura del diálogo; lamentar la ruptura del diálogo
la acreditación académica,academic accreditation,education,conseguir la acreditación académica; renovar la acreditación académica; verificar la acreditación académica
el ayuntamiento,city council,community,presionar al ayuntamiento; acudir al ayuntamiento; gestionar con el ayuntamiento
la asistencia domiciliaria,home care,family,contratar la asistencia domiciliaria; supervisar la asistencia domiciliaria; recibir la asistencia domiciliaria
el malestar social,social unrest,community,expresar el malestar social; calmar el malestar social; canalizar el malestar social
el claustro,faculty/staff meeting,education,convocar el claustro; presidir el claustro; asistir al claustro
la subvención pública,public subsidy,community,solicitar la subvención pública; recibir la subvención pública; gestionar la subvención pública
la calidad asistencial,quality of care,family,mejorar la calidad asistencial; controlar la calidad asistencial; garantizar la calidad asistencial
el permiso de paternidad,paternity leave,family,solicitar el permiso de paternidad; disfrutar el permiso de paternidad; ampliar el permiso de paternidad
el clima de hostilidad,hostile climate,community,generar el clima de hostilidad; reducir el clima de hostilidad; detectar el clima de hostilidad
el órgano colegiado,collegiate body,education,constituir el órgano colegiado; disolver el órgano colegiado; convocar el órgano colegiado
la dependencia severa,severe dependency,family,diagnosticar la dependencia severa; atender la dependencia severa; financiar la dependencia severa
la carga familiar,family burden,family,aliviar la carga familiar; soportar la carga familiar; repartir la carga familiar
la calima,haze/dust storm,environment,sufrir la calima; exceso de calima; aviso por calima
el desprendimiento,landslide/detachment,environment,riesgo de desprendimiento; provocar un desprendimiento; evitar el desprendimiento
el vertido incontrolado,uncontrolled spill,environment,limpiar el vertido incontrolado; denunciar el vertido incontrolado; gestionar el vertido incontrolado
la escorrentía,runoff,environment,controlar la escorrentía; aumentar la escorrentía; peligro por escorrentía
el anegamiento,flooding/waterlogging,environment,sufrir el anegamiento; riesgo de anegamiento; evacuar por anegamiento
la insolación,sunstroke,safety,prevenir la insolación; tratar la insolación; riesgo de insolación grave
el descalabro ambiental,environmental collapse,environment,evitar el descalabro ambiental; denunciar el descalabro ambiental; frenar el descalabro ambiental; advertir del descalabro ambiental
la negligencia temeraria,reckless negligence,legal,acusado de negligencia temeraria; probar la negligencia temeraria; cometer negligencia temeraria; sentenciado por negligencia temeraria
el siniestro total,total loss,safety,declarar el siniestro total; peritar el siniestro total; indemnización por siniestro total
la polución atmosférica,air pollution,environment,reducir la polución atmosférica; índice de polución atmosférica; combatir la polución atmosférica; medir la polución atmosférica
la tormenta de granizo,hailstorm,environment,daños por tormenta de granizo; alerta de tormenta de granizo; sufrir una tormenta de granizo; prevenir daños por tormenta de granizo
el deslizamiento de tierras,landslide,environment,alerta de deslizamiento de tierras; zona de deslizamiento de tierras; provocar un deslizamiento de tierras; evacuar por deslizamiento de tierras
la carga contaminante,pollutant load,environment,medir la carga contaminante; reducir la carga contaminante; limitar la carga contaminante; controlar la carga contaminante
el socavón,sinkhole,environment,aparecer un socavón; rellenar el socavón; seguridad ante el socavón
la cláusula de exclusión,exclusion clause,safety,aplicar la cláusula de exclusión; revisar la cláusula de exclusión; incluir una cláusula de exclusión; invocar la cláusula de exclusión
el peritaje forense,forensic appraisal,legal,solicitar el peritaje forense; resultado del peritaje forense; realizar el peritaje forense; presentar el peritaje forense
la negligencia profesional,professional negligence,legal,demanda por negligencia profesional; probar la negligencia profesional; incurrir en negligencia profesional; denunciar la negligencia profesional
la indemnización por daños,damages compensation,safety,reclamar la indemnización por daños; cobrar la indemnización por daños; pagar la indemnización por daños; calcular la indemnización por daños
el impacto ambiental negativo,negative environmental impact,environment,mitigar el impacto ambiental negativo; evaluar el impacto ambiental negativo; reducir el impacto ambiental negativo; evitar el impacto ambiental negativo
la lluvia torrencial,torrential rain,environment,aviso de lluvia torrencial; daños por lluvia torrencial; soportar lluvia torrencial; prevenir daños por lluvia torrencial
el riesgo de desastre,disaster risk,safety,evaluar el riesgo de desastre; gestionar el riesgo de desastre; reducir el riesgo de desastre; prevenir el riesgo de desastre
la responsabilidad patrimonial,patrimonial liability,legal,reclamar la responsabilidad patrimonial; sentencia de responsabilidad patrimonial; exigir responsabilidad patrimonial; asumir la responsabilidad patrimonial
la zona de afectación,affected area,safety,acotar la zona de afectación; evacuar la zona de afectación; delimitar la zona de afectación; acceder a la zona de afectación
el fraude al seguro,insurance fraud,safety,investigar el fraude al seguro; denunciar el fraude al seguro; cometer fraude al seguro; evitar el fraude al seguro
la radiación ultravioleta,ultraviolet radiation,environment,índice de radiación ultravioleta; protección contra la radiación ultravioleta; exposición a la radiación ultravioleta; medir la radiación ultravioleta
el perito judicial,court expert,legal,designar al perito judicial; informe del perito judicial; consultar al perito judicial; testimonio del perito judicial
la riada,flash flood,environment,caudal de la riada; evacuar por la riada; daños de la riada
el delito ecológico,environmental crime,legal,condena por delito ecológico; perseguir el delito ecológico; cometer un delito ecológico; investigar un delito ecológico
la póliza de cobertura,coverage policy,safety,ampliar la póliza de cobertura; vigencia de la póliza de cobertura; contratar la póliza de cobertura; cancelar la póliza de cobertura
